What is your gender?,"Shakespeare famously said, that ""all is fair in love and war."" Do you agree with this?","Consider the following situation:
John is attracted to a woman named Rebecca. John's friend Mark is also interested in Rebecca. Rebecca is extremely beautiful. If John were to begin a relationship with Rebecca, all of his friends would be envious of him including Mark who has strong feelings for her. There is another problem. John knows that his family would not approve of Rebecca because of her skin color. John is unsure of how to proceed. Rebecca has already indicated that she is attracted to him and if John would like to begin a relationship with her all he has to do is tell her how he feels. 
What are your thoughts on this situation? (Be as detailed as you like in your response.)",What are some of the things that people should consider when pursuing a romantic relationship with someone else? (Be as detailed as you like in your response)
Male,Yes,"I think John should talk to Mark who is his best friend, if he finds out that he is also attracted to her, and thus avoid conflicts in the long term, I think the John family should meet Rebecca before judging her for the color of her skin and the same John on that subject a few days before with his family ","That both parties have to accept themselves as they are, support each other in any situation that life places on them, help each other, talk about their problems and situations "
Male,Maybe,"L’amour est plus fort que les préjugés racistes .
Si ce n’est pas le cas,  c’est que ce n’est pas de l’amour . C’est simples","Soyez vous même et naturel 
Ne mentez pas et pensez au bien être de l’autre"
Male,Yes,"True friends are a rare breed, John should let mark know it’s ok for him to approach Rebecca!","Honesty, loyalty and compassion "
Male,No,"Since Mark is my good friend and my family doesn't accept the girl, I would give my friend the job in a manner worthy of a good friend.","Pay attention to your partner and always be understanding and love him very, very much"
Female,No,"Well, for starters, that sucks. If I were John, I'd allow Mark to proceed in a relationship with Rebecca, but if she showed no interest in Mark, I'd date her no matter what others think.","Who they are as a person, as simple as that sounds. Their heart, mind, and soul will live longer than their body and looks. Focus on the things that will love you, not the things that only your eyes would love. Yes, you should be physically attracted to your partner, but you should also be generally attracted to them, too. You should love THEM, not desire them only for their looks. 

Hypothetically, say you're a writer. If you sit at your desk and find you can only write about your partner's curves, or their hair, or their pretty eyes, and other physical attributes, perhaps look deeper within and wonder if you love them for who they are. Write about how the stardust that makes them intoxicates you each time you hear their voice, talk about how their soul has captured yours in an iron fist, and merged you two to become one. Write about what makes them beautiful, not what already is.

Love them for what makes them beautiful."
Other,Yes,"F they both like each other,  then they should get together. It is on their family and friends if they do not approve.","Honesty, as well as how the dynamic would work. There should be clear boundaries as well as responsibilities."
Other,Maybe,"John should express his feelings for Rebecca, despite the possibility of losing his friend and respect of his family.","you should consider how the relationship would affect your other, non romantic relationships, and how it would change your current relationship with the person you wish to pursue."
Male,Yes,"Sometimes you have to put aside other people's feelings, prejudices, beliefs, and do what is right for one's self. If that means alienating family and friends in the pursuit of what makes yourself happy then that is something that you have make a choice on which is most important to yourself. I believe that John should proceed, but cautiously and perhaps subtly as to not completely cut off those in his life. Perhaps both groups may come around if they see he is happy. It's a chance that one must take sometimes.","Well being true to yourself is a big starter. My thoughts are that if you are happy in love and life than others can see that as good sign, every worry and problem sort of fades away. Time heals, people change their minds, and love conquers all. "
Female,Maybe,"John should be honest with himself, his friends and his family and love her no matter her religion- sexuality or race.",You should consider first and foremost if you're even well situated in life for a relationship like that. If you can't take care of yourself how will you take care of others?
Male,No,"I guess Jonh should start a relationship with Rebecca since she said she has a attraction to him and because sometimes family just try to stop you from doing things cuz they only matter with appearance and status and in these days i dont think its that hard to get a house, a decent job and money.","If that person was going to love you, i would recommend to date for some months to see how it goes and then you decide "
